Adószám,Szervezet neve,Székhely,Új kategória (legalsó szint),Szülő kategória,Cél (első 200 karakter)
14070697,WEÖRES SÁNDOR SZINHÁZ NONPROFIT KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG,9700 SZOMBATHELY AKACS MIHÁLY UTCA 7.,művészeti szervezetek,kultúra és művészet,
14138184,Férfiak Klubja Nonprofit Korlátolt Felelősségű Társaság,1037 BUDAPEST ZAY UTCA 3.,egyéb szabadidős szervezetek,sport és szabadidő,
14663507,TÜNET KULTURÁLIS ÉS MŰVÉSZETI KÖZHASZNÚ NONPROFIT KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG,1025 BUDAPEST KAVICS UTCA 17/B.,művészeti szervezetek,kultúra és művészet,
14674291,NÉZŐMŰVÉSZETI KULTURÁLIS KÖZHASZNÚ NONPROFIT KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG,1116 BUDAPEST KISKÖRE UTCA 20. 1.em. 5.ajtó,művészeti szervezetek,kultúra és művészet,
14968620,ÖRKÉNY ISTVÁN SZÍNHÁZ NONPROFIT KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG,1075 BUDAPEST MADÁCH I. TÉR 6.,művészeti szervezetek,kultúra és művészet,
15300540,HUN-REN ÖKOLÓGIAI KUTATÓKÖZPONT,1113 BUDAPEST KAROLINA ÚT 29.,környezet- és természetvédelem,környezet- és állatvédelem,
15308744,EÖTVÖS LORÁND TUDOMÁNYEGYETEM,1053 BUDAPEST EGYETEM TÉR 1-3.,felsőoktatás,oktatás,
15313377,MAGYAR TUDOMÁNYOS AKADÉMIA FEJEZETI KEZELÉSŰ ELŐIRÁNYZATA,1051 BUDAPEST NÁDOR U. 7,tudományos kutatás,oktatás,
15484701,  SZENT-GYÖRGYI ALBERT AGÓRA,6722 SZEGED KÁLVÁRIA SUGÁRÚT 23.,egyéb kulturális szervezetek,kultúra és művészet,
15484828,SZEGEDI NEMZETI SZÍNHÁZ,6720 SZEGED VASZY VIKTOR TÉR 1.,művészeti szervezetek,kultúra és művészet,
15490658,FŐVÁROSI ÁLLAT- ÉS NÖVÉNYKERT,1146 BUDAPEST ÁLLATKERTI KÖRÚT 6-12.,állatkertek,környezet- és állatvédelem,
15490768,FŐVÁROSI SZABÓ ERVIN KÖNYVTÁR,1088 BUDAPEST SZABÓ ERVIN TÉR 1.,egyéb kulturális szervezetek,kultúra és művészet,
15549800,TISZAÚJVÁROSI MŰVELŐDÉSI KÖZPONT ÉS KÖNYVTÁR,3580 TISZAÚJVÁROS SZÉCHENYI ÚT 2.,egyéb kulturális szervezetek,kultúra és művészet,
15566623,GÖDÖLLŐI VÁROSI KÖNYVTÁR ÉS INFORMÁCIÓS KÖZPONT,2100 GÖDÖLLŐ DÓZSA GYÖRGY ÚT 8.,egyéb kulturális szervezetek,kultúra és művészet,
16718304,GYŐRI FILHARMONIKUS ZENEKAR,9021 GYŐR ARADI VÉRTANÚK ÚTJA 16.,művészeti szervezetek,kultúra és művészet,
16794601,DUNAHARASZTI VÁROSI KÖNYVTÁR,2330 DUNAHARASZTI DÓZSA GYÖRGY ÚT 12/B.,egyéb kulturális szervezetek,kultúra és művészet,
16795028,HEGEDÜS GÉZA VÁROSI KÖNYVTÁR,2315 SZIGETHALOM JÓZSEF ATTILA UTCA 59.,egyéb kulturális szervezetek,kultúra és művészet,
18000005,Magyar Coeliakia Egyesület,"1025 Budapest, Palánta utca 11.",egyéb felnőtt egészségügy,felnőtt egészségügy,"A coelikáliában és a dermatitis herpetiformis betegségben szenvedő betegek sajátos érdekeinek képviselete és szolgálata országhatáron belül és kívül, társadalmi esélyegyenlőségük elérése, emberi és ál"
18000139,Szent Bazil Alapítvány,"1027 Budapest, Fő utca 88.",vallási szervezetek,kultúra és művészet,"A Budai Görögkatolikus Parókia tevékenységének elősegítése és anyagi támogatása mind személyi, mind dologi vonatkozásban."
18000153,Alapítvány az Erzsébet utcai Iskola Diákjaiért,"1041 Budapest, Erzsébet utca 69.",általános iskolák,oktatás,"A nevelési oktatási célok színvonalas megvalósítás érdekében az ezt elősegítő kezdeményezések támogatása. Az alapítvány céljai eléréshez közhasznú tevékenységként nevelés, oktatás, képességfejlesztés;"
18000160,A Munkásotthon Utcai Iskola Tanulóiért Közhasznú Alapítvány,"1043 Budapest, Munkásotthon utca 3.",általános iskolák,oktatás,"Az iskola tanulói képességeinek kibontakoztatása, tehetséggondozás, iskolai felszerelés bővítése, a táborozás és turizmus támogatása, iskolai rendezvények támogatása."
18000191,Semmelweis Kórus Egyesület,"1153 Budapest, Bocskai utca 171.",művészeti szervezetek,kultúra és művészet,"Folyamatosan működő, rendszeresen együtt próbáló tagokból álló és erőforrásainak megfelelő alkalomszámmal közönség előtt szereplő kórus fenntartása és szakmai fejlesztése. A kóruszenei hagyományok ápo"
18000294,Hornyák Alapítvány,"1151 Budapest, Gubó utca 8.",fogyatékkal élők segítése,szociális segítségnyújtás,"Az enyhe fokban sérült értelmi fogyatékos vak, a középfokban sérült értelmi fogyatékos vak, illetve enyhe, középfokban sérült értelmi fogyatékos gyermekek, fiatalok és felnőttek megsegítése."
